Time Heading Pitch Roll AccelX AccelY AccelZ GravityX GravityY GravityZ
3534.000 0.01 -1.59 -0.76 -0.04 0.00 -0.39 0.27 -0.12 9.80
3986.000 0.01 -1.59 -0.76 -0.02 0.01 -0.35 0.27 -0.12 9.80
4417.000 0.01 -1.59 -0.76 -0.01 0.00 -0.38 0.27 -0.12 9.80
4534.000 0.01 -1.59 -0.76 -0.02 0.00 -0.38 0.27 -0.12 9.80
4808.000 0.01 -1.59 -0.76 -0.04 0.02 -0.37 0.27 -0.12 9.80
5074.000 0.01 -1.59 -0.76 -0.04 0.00 -0.41 0.27 -0.12 9.80
5435.000 0.01 -1.59 -0.76 -0.02 0.00 -0.40 0.27 -0.12 9.80
5890.000 0.01 -1.59 -0.76 -0.01 0.01 -0.40 0.27 -0.12 9.80
6339.000 0.01 -1.59 -0.76 -0.02 0.01 -0.36 0.27 -0.12 9.80
6487.000 0.01 -1.59 -0.76 -0.03 0.00 -0.40 0.27 -0.12 9.80
6956.000 0.01 -1.59 -0.76 -0.03 0.01 -0.38 0.27 -0.12 9.80
6504.000 0.01 -1.59 -0.76 -0.02 0.01 -0.38 0.27 -0.12 9.80
6155.000 0.01 -1.59 -0.76 -0.01 0.00 -0.39 0.27 -0.12 9.80
5545.000 0.01 -1.59 -0.76 -0.01 0.01 -0.39 0.27 -0.12 9.80
4278.000 0.01 -1.59 -0.76 -0.02 0.02 -0.35 0.27 -0.12 9.80
3743.000 0.01 -1.59 -0.76 -0.04 0.01 -0.41 0.27 -0.12 9.80
3631.000 0.01 -1.59 -0.76 -0.02 0.00 -0.40 0.27 -0.12 9.80
3853.000 0.01 -1.59 -0.76 -0.02 0.00 -0.39 0.27 -0.12 9.80
4245.000 0.01 -1.59 -0.76 -0.01 0.01 -0.37 0.27 -0.12 9.80
4409.000 0.01 -1.59 -0.76 -0.01 0.00 -0.38 0.27 -0.12 9.80
5052.000 0.01 -1.59 -0.76 -0.02 0.00 -0.40 0.27 -0.12 9.80
5106.000 0.01 -1.59 -0.76 -0.02 0.00 -0.38 0.27 -0.12 9.80
5406.000 0.01 -1.59 -0.76 -0.02 0.01 -0.39 0.27 -0.12 9.80
5881.000 0.01 -1.59 -0.76 -0.04 0.00 -0.40 0.27 -0.12 9.80
6159.000 0.01 -1.59 -0.76 -0.05 0.00 -0.36 0.27 -0.12 9.80
6481.000 0.01 -1.59 -0.76 -0.04 0.00 -0.39 0.27 -0.12 9.80
7328.000 0.01 -1.59 -0.76 -0.02 0.01 -0.39 0.27 -0.12 9.80
6814.000 0.01 -1.59 -0.76 -0.04 0.02 -0.39 0.27 -0.12 9.80
6101.000 0.01 -1.59 -0.76 -0.03 0.02 -0.39 0.27 -0.12 9.80
5298.000 0.01 -1.59 -0.76 -0.02 0.03 -0.40 0.27 -0.12 9.80
4145.000 0.01 -1.59 -0.76 -0.02 0.00 -0.40 0.27 -0.12 9.80
3520.000 0.01 -1.59 -0.76 -0.02 0.01 -0.38 0.27 -0.12 9.80
3649.000 0.01 -1.59 -0.76 -0.02 0.01 -0.39 0.27 -0.12 9.80
3749.000 0.01 -1.59 -0.76 -0.01 0.01 -0.37 0.27 -0.12 9.80
4177.000 0.01 -1.59 -0.76 0.00 0.01 -0.39 0.27 -0.12 9.80
4247.000 0.01 -1.59 -0.76 -0.02 0.00 -0.39 0.27 -0.12 9.80
4814.000 0.01 -1.59 -0.76 -0.01 0.00 -0.39 0.27 -0.12 9.80
4993.000 0.01 -1.59 -0.76 -0.03 0.01 -0.39 0.27 -0.12 9.80
5386.000 0.01 -1.59 -0.76 0.00 0.00 -0.40 0.27 -0.12 9.80
5636.000 0.01 -1.59 -0.76 -0.02 0.01 -0.38 0.27 -0.12 9.80
6142.000 0.01 -1.59 -0.76 -0.02 0.02 -0.40 0.27 -0.12 9.80
6504.000 0.01 -1.59 -0.76 -0.03 0.00 -0.37 0.27 -0.12 9.80
6846.000 0.01 -1.59 -0.76 -0.03 0.02 -0.39 0.27 -0.12 9.80
6541.000 0.01 -1.59 -0.76 -0.02 0.01 -0.38 0.27 -0.12 9.80
6337.000 0.01 -1.59 -0.76 -0.01 0.00 -0.37 0.27 -0.12 9.80
5321.000 0.01 -1.59 -0.76 -0.02 0.03 -0.39 0.27 -0.12 9.80
4430.000 0.01 -1.59 -0.76 -0.02 0.01 -0.41 0.27 -0.12 9.80
3764.000 0.01 -1.59 -0.76 -0.02 0.01 -0.39 0.27 -0.12 9.80
3638.000 0.01 -1.59 -0.76 -0.05 0.00 -0.39 0.27 -0.12 9.80
3851.000 0.01 -1.59 -0.76 -0.02 0.00 -0.39 0.27 -0.12 9.80
4245.000 0.01 -1.59 -0.76 -0.04 0.02 -0.38 0.27 -0.12 9.80
4342.000 0.01 -1.59 -0.76 -0.02 0.00 -0.38 0.27 -0.12 9.80
4622.000 0.01 -1.59 -0.76 -0.03 0.00 -0.37 0.27 -0.12 9.80
5024.000 0.01 -1.59 -0.76 -0.01 0.01 -0.38 0.27 -0.12 9.80
5381.000 0.01 -1.59 -0.76 -0.01 0.00 -0.37 0.27 -0.12 9.80
5779.000 0.01 -1.59 -0.76 0.00 -0.01 -0.39 0.27 -0.12 9.80
6162.000 0.01 -1.59 -0.76 -0.04 0.00 -0.40 0.27 -0.12 9.80
6533.000 0.01 -1.59 -0.76 -0.03 0.00 -0.38 0.27 -0.12 9.80
6783.000 0.01 -1.59 -0.76 -0.03 0.00 -0.36 0.27 -0.12 9.80
7049.000 0.01 -1.59 -0.76 -0.06 0.00 -0.38 0.27 -0.12 9.80
6383.000 0.01 -1.59 -0.76 -0.02 0.02 -0.39 0.27 -0.12 9.80
5468.000 0.01 -1.59 -0.76 -0.01 -0.03 -0.37 0.27 -0.12 9.80
5182.000 0.01 -1.59 -0.76 -0.03 0.00 -0.39 0.27 -0.12 9.80
6071.000 0.01 -1.59 -0.76 -0.04 0.00 -0.35 0.27 -0.12 9.80
3653.000 0.01 -1.59 -0.76 -0.01 0.00 -0.38 0.27 -0.12 9.80
3810.000 0.01 -1.59 -0.76 -0.03 0.01 -0.38 0.27 -0.12 9.80
4043.000 0.01 -1.59 -0.76 -0.01 0.01 -0.36 0.27 -0.12 9.80
4213.000 0.01 -1.59 -0.76 -0.01 0.00 -0.34 0.27 -0.12 9.80
4948.000 0.01 -1.59 -0.76 -0.03 0.01 -0.38 0.27 -0.12 9.80
